### Footprint positions - created on Sun Apr 30 22:38:36 2023 ###
### Printed by KiCad version 7.0.1
## Unit = mm, Angle = deg.
## Side : top
Designator    ,      Package                                     ,     Mid X ,     Mid Y ,  Layer,     Rotation
C50      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  63.0525 , -64.8000 ,  top, 90.0000 
C51      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  58.7150 , -50.8500 ,  top, 90.0000 
C52      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  61.6525 , -64.7675 ,  top, 90.0000 
C53      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  57.9650 , -55.6000 ,  top,  0.0000 
C54      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  60.5500 , -59.4000 ,  top,-90.0000 
C55      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  57.2150 , -50.8500 ,  top,-90.0000 
C56      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  62.3025 , -67.4000 ,  top, 90.0000 
C57      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  60.8325 , -54.5000 ,  top,  0.0000 
C58      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  59.1500 , -59.4000 ,  top, 90.0000 
C59      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  49.6000 , -63.8525 ,  top,  0.0000 
C60      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  53.7537 , -70.8500 ,  top,180.0000 
C61      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  46.0000 , -60.3000 ,  top, 90.0000 
C62      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  58.4362 , -70.0325 ,  top, 90.0000 
C63      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  49.6000 , -62.3525 ,  top,180.0000 
C64      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  53.7537 , -69.3500 ,  top,  0.0000 
C65      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  48.1950 , -61.0675 ,  top,180.0000 
C66      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  57.7188 , -67.9025 ,  top,  0.0000 
C67      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  56.4025 , -62.4000 ,  top,  0.0000 
C68      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  50.8362 , -69.6000 ,  top,  0.0000 
C69      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  53.5625 , -63.9000 ,  top,  0.0000 
C70      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  46.0362 , -67.1675 ,  top, 90.0000 
C71      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  56.4025 , -60.9000 ,  top,180.0000 
C72      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  50.8362 , -68.1000 ,  top,180.0000 
C73      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  56.3625 , -59.5000 ,  top,180.0000 
C74      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  50.8687 , -66.4000 ,  top,180.0000 
C75      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  80.6000 , -52.1000 ,  top,180.0000 
C76      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  80.2000 , -54.4000 ,  top, 90.0000 
C77      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  80.6305 , -39.9905 ,  top,180.0000 
C78      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  63.5000 , -34.5440 ,  top,-90.0000 
C79      ,      C_0402_1005Metric_Pad0.74x0.62mm_HandSolder ,  65.0835 , -34.5440 ,  top,-90.0000 
D1       ,      LED_0603_1608Metric                         ,  87.3805 , -43.9905 ,  top,-90.0000 
R1       ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  86.6305 , -46.2405 ,  top,  0.0000 
R2       ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  87.6305 , -38.7405 ,  top,-90.0000 
R3       ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  85.8805 , -39.2405 ,  top,180.0000 
R4       ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  88.7500 , -55.4025 ,  top, 90.0000 
R5       ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  80.6305 , -43.7405 ,  top,180.0000 
R6       ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  67.6000 , -63.0975 ,  top,-90.0000 
R7       ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  68.8500 , -63.0975 ,  top, 90.0000 
R8       ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  67.3500 , -55.8000 ,  top,  0.0000 
R9       ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  70.3500 , -55.8000 ,  top,  0.0000 
R10      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  71.1000 , -57.8500 ,  top,-90.0000 
R11      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  66.6000 , -57.8500 ,  top,-90.0000 
R12      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  64.4825 , -53.6000 ,  top,-90.0000 
R13      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  63.7325 , -48.8500 ,  top,  0.0000 
R14      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  67.5520 , -72.5680 ,  top,180.0000 
R15      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  66.8020 , -67.8180 ,  top, 90.0000 
R16      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  68.3020 , -67.8180 ,  top,-90.0000 
R17      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  71.1440 , -71.8975 ,  top, 90.0000 
R18      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  70.3700 , -70.0445 ,  top,180.0000 
R19      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  76.4540 , -65.6590 ,  top, 90.0000 
